f, s, e, arg
0.7, 2.03, 1, -5.0
1.3, 2.04, 1, -9.9
2.0, 2.09, 1, -15.7
2.5, 2.12, 1, -20.2
3.0, 2.16, 1, -25.0
3.5, 2.21, 1, -30.5
4.0, 2.26, 1, -36.0
4.5, 2.29, 1, -42.6
5.0, 2.32, 1, -49.6
5.5, 2.32, 1, -57.2
6.0, 2.29, 1, -65.1
6.5, 2.23, 1, -73.2
7.0, 2.14, 1, -81.3
8.0, 1.88, 1, -96.4
9.0, 1.59, 1, -109.0
10.0, 1.32, 1, -119.2
11.0, 1.09, 1, -127.1
12.0, 0.91, 1, -132.2
13.0, 0.77, 1, -138.4
14.0, 0.65, 1, -142.4
15.0, 0.57, 1, -145.1
17.0, 0.43, 1, -150.3
20.0, 0.3, 1, -155.3
25.0, 0.19, 1, -160.8
30.0, 0.13, 1, -164.5
40.0, 0.07, 1, -168.1
